Most common page simhash values.

zetaweb=# select count(*), simhash_value from site_info group by simhash_value order by count(*) desc limit 500;
  count  |                                                          simhash_value                                                           
    1416 | 00011011111000010000011001100110010010000001011110011110100101011101100100001100011011010001110010001000100010110000111001100000
    1416 | 10111000010100000100111111110111001000101010000001010011100100100011011111010111100011101101010000100010111110101000101101100101
    1412 | 10011000000110110001110001010010001110111011001110001101100110110010101010110100010101010001001100000001110010111000000100111000
    1406 | 10001000111110111000110011100011001010110010000001010001110111110000001001010001101110001100000111111110011111110101011111011001
    1404 | 11010001010011110011110111011010011001100000010100011000011011011001100101001001001111001011110010011111100100000100110000010011
    1372 | 11011011100001100010111101101110000100110011110110101010001110101000001100011101010111101111111111001101001011011001101011010110
    1371 | 01110000000101100011110010000010111001000010101101011110100101001001001111010100011010000110010011111110111010000000111011011100
    1367 | 01101111100101001100011000100111011111111000111100011100010110110100011111010100000001101101111101111010111010101100100011111001
    1361 | 01011011110011010000011001100010000000111011100100101110111110001100101101011101010011101111110110011000001011110001001001110000
    1359 | 01000110011100011000010011001110011001100101001010101010000100111010001100101010010001111011000010110010011111001100000110011101
    1353 | 10111000011000001001101101110100110100010111010010010010111000011001111011101010001110101001110011101110000100100010101010001100
    1352 | 11010001010011110011110111011010001001100000010100011000011011011001100101001001001111001011110010011111100100000100110010010011
    1346 | 10110010100110101001110010100011101110110011001111111100100110110000111100000100011000110111101010111111010111101001011001111101
    1333 | 11001111011000110101000011111110001000001101101101101000000011110101101010110000010110100111010110011010101101101001101110001100
    1319 | 00010000100101000001010011100100001101110000100001100110100010001000001101000111001011011011110010101011111111111100010101111010
    1304 | 11001001011010011011010011000011011001101010100001001000101110111010100101101111010010001110011000010010011001001010001111010101
    1300 | 10010010010011100100000011100110011100100110110000100000010100001000001001110110110100000010100000100110101101100110100000001000
    1289 | 00011000111101110001110111100100001001110101001001111111100010010100101001000101111011001011110010100110100111111101001101101000
    1259 | 11010010111000001001111101000101101011110000000111011101111010000001111001000001111011101100011011010110100111111101100010101011
    1239 | 01111011110000100101011000110111111111110010001101010011100101110110000011010100010011111001010011010000011100110000111111110010
    1233 | 10001010110000110001111001101110010000110001100111000100000110110101101101000101101011110100100010101010001111101000111001110010
    1218 | 11100000001110011001100010110011000100111010000100010100100111011000101101000101001101111101100010100101010101111001011001101100
    1217 | 00001011010011000000110000101101000111011101010001001100000100000001011100000101000101111011000110001010011001000010101010100010
    1216 | 11010001000011110011110111010010011001100000010100011000011011011001100101001001001111001011110010011111100100000100010010011011
    1204 | 11111110000100110101011011010001001000110011100100001101101011110010111100010101010010110001101010001001111100110101010010110111
    1199 | 01111010000000001001111011100010010001110111010101001001000110111010101011000100011011001011110110110011000011110100101001101000
    1175 | 10111110000101100011010111101110010101000011100101000011010100010001001100110001001111111111110101110100010101010001111001001000
    1174 | 00101100110001111101110001010011101111001111001001000011111101001000011010111110010101100001111100111011000101000011000011010101
    1164 | 00010010110010110000110000101011011100110010001011110110110010011000101110010110011000001111111010110101100111111000011001110100
    1162 | 00111110100011001110110001100101001001110010100011011011101010101110001100011000011111001011010111100111100111010111111000111110
    1154 | 10001100111011011001110110000101001111000010000010010011000001111001100011011101010110001101100000110101101000000000111100010011
    1151 | 11111001100001100000111000010111110101110110010001100011101111001100000011110100010000110111000011010011100111111110101010011001
    1142 | 00010010110110111001110010101011011100010010001010110011110110010000101100010110001000001111110010110101110111111000011001111100
    1142 | 10111110101001001100110010010011011001110110010010110110111111010111000000110100011011001110100010111101100111110001010000100000
    1142 | 01000110111010110000010011110000001000110010110101101101000111001100101101010101010011001011100100111011100011110010101011101010
    1138 | 11000101110010101101010100110111011111100100011101101010000001110000000011011101010101111001010010110011011001100100100011101000
    1127 | 00110000000000100101001011110001100101110010101101010001000101110010101001101110001001000011000100101011100001100100010000111011
    1103 | 10111011101011010001111100100110110001101010110100001111100001101000100101001101010111000011110110100111010110111000101111110101
    1103 | 00000010101000001000000011110000101001001000001001111001001000000101001101110111100000110000010010100000010010100001011010010000
    1101 | 10011100110110011010100000100010111100111000001000010110011111111000101100001101011011111111110110111111110111111001011011110101
    1099 | 01000110101000100010110001100000010000100011110110100010000100001100101101011101000011000001100100111111100011110110101011111010
    1094 | 01011011100000111010011001001011001000111001011110010110101000111001001101010101010011011010100001001001010100110000101001100010
    1091 | 01001111101100100111010101001010100111101111001011001100010101010110100011111011000100110110001000011111000000010111010000101001
    1091 | 01001001111101101000101001011100100001001001001111101100001011000000101111110100100010011000001000011100001000011111110000111011
    1087 | 10110010111101000001010001100100001001110000001001011110100010011000101101010000011011001111100010110110111011101101111101101000
    1086 | 01111011000101011000000011010111110011110001001101011110101111010000100001001110100011001000101001001000001100110101000000100111
    1084 | 10001111101000001100111000011010001111100100100010101111111111010000010100000001100010111001101100111001001100010000010001000111
    1084 | 00111001110011000100010110010111000101110001111110110111000111011111100101110101001011101000001000011110011100010000111111010011
    1059 | 10001100101111000011110001000111001101100010110001100000101001101000100001010000001001000010000100010111000011001000101101010001
    1041 | 00101111101000010100100111101110011000110011001011010110101010110010111010011111111011000011100111001100010111100111111101110011
